Type,Latitude,Longitude,Date,Time,Descriptions
Roadwork,1.301647569,103.8960664,12/2/18,10:15:00 AM,Roadworks on Mountbatten Road (towards City) after Tanjong Katong Road South. Avoid left lane.
Roadwork,1.344209258,103.7757262,12/2/18,10:13:00 AM,Roadworks on Jalan Anak Bukit (towards City) after Old Jurong Road. Avoid left lane.
Roadwork,1.342370328,103.7774007,12/2/18,10:11:00 AM,Roadworks on Jalan Anak Bukit (towards Clementi Road) after Hindhede Road. Avoid left lane.
Roadwork,1.317493199,103.8959603,12/2/18,10:07:00 AM,Roadworks on Sims Avenue (toward Changi) after Paya Lebar Road.
Roadwork,1.331035914,103.7953053,12/2/18,10:05:00 AM,Roadworks on Sixth Avenue (towards Anamalai Avenue) after Fifth Avenue. Avoid right lane.
Roadwork,1.409962908,103.830237,12/2/18,10:04:00 AM,Roadworks on Yishun Avenue 1 (towards Lentor Avenue) after Yishun Avenue 2. Avoid left lane.
Roadwork,1.312139514,103.8904456,12/2/18,10:04:00 AM,Roadworks on Guillemard Road (towards Lorong 40 Geylang) after Hemmant Road. Avoid right lane.
Roadwork,1.333790648,103.7445389,12/2/18,10:02:00 AM,Roadworks on Jurong Gateway Road (towards Boon Lay Way) after Jurong East Street 21.
Roadwork,1.346148456,103.7030829,12/2/18,10:02:00 AM,Roadworks on Jurong West Avenue 4 (towards Jurong West Street 76) after Jurong West Street 75.
Roadwork,1.293057962,103.7684616,12/2/18,9:56:00 AM,Roadworks on Clementi Road (towards Kent Ridge Crescent) after West Coast Road. Avoid left lane.
Roadwork,1.331425441,103.7958231,12/2/18,9:55:00 AM,Roadworks on Bukit Timah Road (towards Woodlands) after Fourth Ave. Avoid right lane.
Roadwork,1.369607849,103.8518768,12/2/18,9:51:00 AM,Roadworks on Ang Mo Kio Avenue 3 (towards Ang Mo Kio Street 42) after Ang Mo Kio Avenue 8.
Roadwork,1.335681441,103.6963187,12/2/18,9:51:00 AM,Roadworks on Pioneer Road North (towards Jurong West Street 63) after Upper Jurong Road. Avoid right lane.
Roadwork,1.332042511,103.9542788,12/2/18,9:47:00 AM,Roadworks on Upper Changi Road East (toward Changi) after Bedok Road. Avoid right lane.
Roadwork,1.354422211,103.8487635,12/2/18,9:46:00 AM,Roadworks on Bishan Road (towards Bishan Street 22) after Ang Mo Kio Avenue 1.
Roadwork,1.354097585,103.8650059,12/2/18,9:45:00 AM,Roadworks on Lorong Chuan (towards Ang Mo Kio Avenue 1) after Cardiff Grove. Avoid left lane.
Accident,1.296707857,103.7839047,12/2/18,9:45:00 AM,Accident on AYE (towards MCE) after Buona Vista Exit. Avoid lanes 1 and 2.
Roadwork,1.331927315,103.9555162,12/2/18,9:44:00 AM,Roadworks on Xilin Avenue (towards Upper Changi Road East) after Changi South Avenue 1. Avoid left lane.
Roadwork,1.368549404,103.850019,12/2/18,9:44:00 AM,Roadworks on Ang Mo Kio Avenue 8 (towards Ang Mo Kio Street 31) after Ang Mo Kio Avenue 3. Avoid right lane.
