Type,Latitude,Longitude,Date,Time,Descriptions
Accident,1.28377778,103.8063696,22/2/2018,2:47:00 PM,Accident on AYE (towards Tuas) after Lower Delta Rd Exit.
Roadwork,1.38424514,103.7387777,22/2/2018,2:42:00 PM,Roadworks on KJE (towards BKE) after Choa Chu Kang Way Exit.
Roadwork,1.367518984,103.8449197,22/2/2018,2:40:00 PM,Roadworks on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Street 31) after Ang Mo Kio Avenue 3. Avoid left lane.
Heavy Traffic,1.329903307,103.8634725,22/2/2018,2:37:00 PM,Heavy Traffic on PIE (towards Tuas) at CTE(SLE) Exit
Roadwork,1.348011835,103.7935469,22/2/2018,2:32:00 PM,Roadworks on BKE (towards PIE) before PIE Exit. Avoid lane 1.
Heavy Traffic,1.32985123,103.8637887,22/2/2018,2:32:00 PM,Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and CTE(City) Exit.
Roadwork,1.379616521,103.9208201,22/2/2018,2:30:00 PM,Roadworks on TPE (towards SLE) after Tampines Rd Exit.
Heavy Traffic,1.315987668,103.7589356,22/2/2018,2:14:00 PM,Heavy Traffic on AYE (towards MCE) before Clementi Ave 6 Exit
Roadwork,1.343589326,103.7765057,22/2/2018,2:04:00 PM,Roadworks on Jalan Anak Bukit (towards City) after Old Jurong Road. Avoid left lane.
Roadwork,1.331377825,103.8622319,22/2/2018,1:56:00 PM,Roadworks on CTE (towards SLE) after PIE(Changi) Exit.
Vehicle breakdown,1.322691291,103.6782408,22/2/2018,1:54:00 PM,Vehicle breakdown on AYE (towards MCE) after Benoi Rd Exit.
Vehicle breakdown,1.317605005,103.8492388,22/2/2018,1:53:00 PM,Vehicle breakdown on CTE (towards SLE) before Moulmein Rd Exit.
Roadwork,1.272553767,103.8116684,22/2/2018,1:46:00 PM,Roadworks on Telok Blangah Drive (towards Henderson Road).
Roadwork,1.37096401,103.9410596,22/2/2018,1:32:00 PM,Roadworks on TPE (towards SLE) before Tampines Rd Exit.
Roadwork,1.319393917,103.771014,22/2/2018,1:29:00 PM,Roadworks on Clementi Road (towards Ulu Pandan Road). Avoid left lane.
Roadwork,1.318631363,103.7712157,22/2/2018,1:27:00 PM,Roadworks on Clementi Road (towards Ulu Pandan Road) after Clementi Avenue 2.
Roadwork,1.298524849,103.7811083,22/2/2018,1:23:00 PM,Roadworks on AYE (towards Tuas) after Buona Vista exit.
Roadwork,1.338277889,103.6474126,22/2/2018,1:14:00 PM,Roadworks on AYE (towards MCE) after Tuas West Rd. Avoid lane 3.
Roadwork,1.319511317,103.9681399,22/2/2018,1:13:00 PM,Roadworks on ECP (towards City) after East Coast Park Carpark H Exit. Avoid lane 1.
Roadwork,1.315784711,103.7610957,22/2/2018,1:11:00 PM,Roadworks on AYE (towards MCE) at Clementi Ave 6 Entrance.
Roadwork,1.375149,103.7774821,22/2/2018,1:09:00 PM,Roadworks on BKE (towards PIE) at Bukit Panjang Exit.
Obstacle,1.330268158,103.6729211,22/2/2018,12:44:00 PM,Obstacle on PIE (towards Tuas) after Upper Jurong Rd. Avoid lane 1.
Roadwork,1.346115532,103.7029956,22/2/2018,12:41:00 PM,Roadworks on Jurong West Avenue 4 (towards Jurong West Street 76) after Jurong West Street 75. Avoid left lane.
Roadwork,1.325948253,103.903948,22/2/2018,12:30:00 PM,Roadworks on PIE (towards Changi Airport) at Jalan Eunos Exit.
Roadwork,1.375149,103.7774821,22/2/2018,12:29:00 PM,Roadworks on BKE (towards PIE) at Bukit Panjang Exit.
Roadwork,1.335784292,103.8939716,22/2/2018,12:29:00 PM,Roadworks on Airport Road near Airport Road/Tai Seng Avenue Junction.
Roadwork,1.365792529,103.8515181,22/2/2018,12:26:00 PM,Roadworks on Ang Mo Kio Avenue 8 (towards Ang Mo Kio Street 31) after Ang Mo Kio Street 41. Avoid left lane.
Roadwork,1.366707168,103.8282399,22/2/2018,12:21:00 PM,Roadworks on Upper Thomson Road (towards SLE) after Sin Ming Avenue. Avoid left lane.
Roadwork,1.340977917,103.7787189,22/2/2018,12:13:00 PM,Roadworks on Jalan Anak Bukit (towards City) after Jalan Jurong Kechil. Avoid left lane.
Roadwork,1.271141046,103.811265,22/2/2018,12:13:00 PM,Roadworks on Henderson Road near Henderson Road/Telok Blangah Road Junction.
Roadwork,1.30762817,103.8093699,22/2/2018,12:10:00 PM,Roadworks on Peirce Road (towards Ridout Road) after Holland Road. Avoid left lane.
Roadwork,1.366168079,103.8366574,22/2/2018,12:09:00 PM,Roadworks on Ang Mo Kio Avenue 1 (towards Ang Mo Kio Avenue 3) after Ang Mo Kio Street 22. Avoid left lane.
Roadwork,1.361589956,103.8867128,22/2/2018,12:08:00 PM,Roadworks on Upper Serangoon Road (towards City) after Hougang Avenue 3. Avoid right lane.
Roadwork,1.332145743,103.901995,22/2/2018,12:07:00 PM,Roadworks on Eunos Link (towards Hougang) after Ubi Avenue 2. Avoid left lane.
